Gender,Education_Level,Income_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Trans_Ct,Churned
M,Graduate,$80K - $120K,3,3,2,2227,23,1
M,High School,$40K - $60K,3,1,2,1300,29,0
F,Uneducated,Less than $40K,4,2,2,2090,30,0
F,Graduate,Less than $40K,5,1,2,1985,16,0
M,Unknown,$40K - $60K,5,1,2,2517,16,0
M,Graduate,$80K - $120K,3,2,3,1662,28,0
M,Graduate,$80K - $120K,3,1,4,2517,34,0
M,Doctorate,Less than $40K,2,1,3,797,32,0
F,Graduate,$40K - $60K,3,1,0,788,27,0
M,High School,$60K - $80K,5,3,2,2100,26,0
M,College,$60K - $80K,5,1,0,1186,42,0
F,College,Unknown,6,2,3,1568,29,0
F,Post-Graduate,Less than $40K,4,2,2,2517,19,0
F,High School,Less than $40K,1,3,3,0,18,1
M,Unknown,$120K +,6,2,3,2327,18,0
M,Graduate,$80K - $120K,2,3,2,2517,25,0
F,Graduate,Less than $40K,3,2,3,1128,20,0
M,College,$60K - $80K,2,3,3,0,10,1
F,Uneducated,Less than $40K,3,2,3,0,16,1
F,Graduate,Less than $40K,6,3,2,2117,31,0
M,Graduate,$120K +,3,2,0,1536,34,0
F,Graduate,Unknown,4,1,3,1228,30,0
M,High School,$80K - $120K,4,1,3,1104,39,0
M,High School,$80K - $120K,5,1,0,0,22,0
M,Graduate,Unknown,5,2,3,1652,32,0
F,Graduate,$40K - $60K,2,2,3,0,22,0
M,Uneducated,$60K - $80K,6,2,2,1540,29,0
F,College,Less than $40K,4,2,3,930,26,0
F,Unknown,$40K - $60K,3,3,3,0,28,0
F,High School,$40K - $60K,6,1,3,0,29,0
M,Doctorate,$120K +,6,1,3,618,27,0
F,Uneducated,Unknown,4,3,2,0,24,0
F,Graduate,Less than $40K,2,3,1,1954,29,0
M,High School,$80K - $120K,5,2,1,1024,28,0
F,College,Unknown,2,3,3,1305,31,0
M,Uneducated,$60K - $80K,3,2,2,2071,38,0
F,Unknown,Less than $40K,6,5,3,2114,24,0
F,Uneducated,$40K - $60K,5,2,3,1570,28,0
F,Uneducated,Less than $40K,3,1,2,1761,30,0
F,Uneducated,Less than $40K,4,1,0,746,29,0
F,Uneducated,Less than $40K,3,3,3,2173,23,0
M,Graduate,$80K - $120K,6,3,3,2517,17,1
M,High School,$60K - $80K,5,2,2,0,53,0
F,Uneducated,Unknown,4,3,3,1719,37,0
F,High School,Less than $40K,6,3,3,893,28,0
M,Unknown,$80K - $120K,2,2,1,0,20,1
M,High School,$80K - $120K,3,1,3,1260,34,0
F,High School,$40K - $60K,4,1,2,1434,34,0
F,Graduate,$40K - $60K,5,2,2,1777,28,0
M,Uneducated,$80K - $120K,2,1,2,1836,47,0
F,Graduate,Less than $40K,4,3,2,2517,32,0
F,Uneducated,$40K - $60K,6,3,0,1072,22,0
F,Uneducated,$40K - $60K,4,2,3,985,28,0
M,Uneducated,$40K - $60K,3,2,1,2248,18,0
M,Graduate,$80K - $120K,6,2,3,2107,24,0
F,Uneducated,Less than $40K,5,3,0,2001,36,0
M,Graduate,$60K - $80K,6,2,2,1701,25,0
M,Graduate,$60K - $80K,2,1,2,1251,50,0
F,Uneducated,Unknown,6,2,1,0,27,0
M,Post-Graduate,$80K - $120K,3,1,0,462,33,0
F,College,Less than $40K,5,1,3,738,33,0
F,High School,Less than $40K,5,1,2,1626,28,0
F,Post-Graduate,Unknown,6,1,3,0,32,0
M,Graduate,$80K - $120K,5,3,1,1976,24,0
M,Graduate,$80K - $120K,5,2,0,0,35,0
F,Graduate,Less than $40K,4,2,3,1594,37,0
M,Doctorate,$120K +,3,3,0,1676,52,0
F,Post-Graduate,Less than $40K,5,1,1,1598,42,0
F,High School,Less than $40K,2,1,2,799,22,0
M,High School,$120K +,3,2,3,1998,21,0
M,Uneducated,$80K - $120K,3,3,1,1423,42,0
M,High School,Less than $40K,1,3,2,900,21,1
M,College,$60K - $80K,4,1,2,1687,22,0
M,Unknown,$80K - $120K,5,3,0,866,42,0
M,Graduate,$60K - $80K,4,5,3,2006,27,0
M,College,$80K - $120K,4,5,3,1632,41,0
M,Graduate,$60K - $80K,3,2,1,1679,27,0
M,Graduate,$60K - $80K,4,2,2,1468,32,0
F,High School,Less than $40K,3,2,2,1580,27,0
F,Graduate,Less than $40K,2,4,3,0,27,1
M,Post-Graduate,$60K - $80K,3,3,3,0,24,1
M,Graduate,$40K - $60K,2,1,2,1779,37,0
M,College,$120K +,2,3,0,2395,48,0
F,High School,Less than $40K,4,1,2,1649,26,0
M,Unknown,$80K - $120K,3,2,3,1359,26,0
M,Graduate,$120K +,5,3,3,2207,40,0
M,High School,$60K - $80K,4,2,2,2517,37,0
M,High School,$40K - $60K,5,3,2,1721,21,0
M,College,Less than $40K,3,2,3,1955,24,0
F,Graduate,Less than $40K,5,2,0,1168,32,0
M,Unknown,$60K - $80K,5,1,2,2509,32,0
M,High School,$80K - $120K,6,1,2,1202,33,0
F,Uneducated,Less than $40K,4,1,3,1835,25,0
M,Unknown,$40K - $60K,2,1,3,1603,43,0
F,Uneducated,Less than $40K,5,1,0,1272,22,0
M,Graduate,$80K - $120K,5,3,0,2295,24,0
F,Graduate,$40K - $60K,6,2,3,1141,20,0
F,Graduate,Less than $40K,5,2,2,679,29,0
M,High School,$80K - $120K,4,3,0,1789,24,0
M,College,$60K - $80K,4,1,2,0,26,0
F,Uneducated,Less than $40K,6,4,2,2222,38,0
F,Graduate,Less than $40K,3,1,3,1304,38,0
M,Graduate,$120K +,4,3,3,1666,18,0
F,Uneducated,$40K - $60K,4,4,3,1025,12,1
M,Unknown,$80K - $120K,2,3,0,1740,21,0
M,Graduate,$120K +,5,2,2,1748,26,0
M,Post-Graduate,$80K - $120K,6,2,2,1644,50,0
M,College,$60K - $80K,6,3,3,1819,25,0
M,College,$60K - $80K,4,3,2,1301,27,0
M,Uneducated,$80K - $120K,2,3,3,1833,17,1
M,Graduate,$80K - $120K,3,3,3,0,27,0
M,Uneducated,$40K - $60K,5,3,3,1222,33,0
M,Unknown,$80K - $120K,4,1,2,1585,36,0
F,Unknown,Less than $40K,2,3,3,2517,30,1
M,High School,$80K - $120K,4,2,2,1475,25,0
M,College,$40K - $60K,2,2,3,0,21,1
F,College,Less than $40K,1,3,2,0,24,1
M,Graduate,$80K - $120K,6,2,3,1289,49,0
M,Uneducated,$80K - $120K,2,2,2,1650,33,0
F,Doctorate,Unknown,6,3,2,1666,36,0
M,High School,$120K +,3,3,3,0,19,1
M,Graduate,$60K - $80K,4,1,2,1532,25,0
M,Doctorate,$60K - $80K,5,1,2,2480,35,0
M,Post-Graduate,$120K +,4,1,2,1486,28,0
M,High School,$40K - $60K,5,3,2,1125,34,0
M,Unknown,$40K - $60K,6,3,4,709,27,0
M,High School,$40K - $60K,2,4,3,1054,17,1
M,High School,Less than $40K,3,2,3,1495,15,0
F,High School,Less than $40K,4,3,3,1152,26,0
M,Unknown,$60K - $80K,4,1,0,953,34,0
M,Uneducated,$120K +,4,2,2,1510,38,0
F,Uneducated,$40K - $60K,2,3,0,849,28,0
M,Graduate,$40K - $60K,6,3,2,1378,29,0
M,College,$80K - $120K,2,2,3,1652,39,0
F,Post-Graduate,$40K - $60K,1,4,1,0,23,1
M,Unknown,$60K - $80K,6,3,2,1171,17,0
F,Unknown,Less than $40K,2,3,2,2143,40,0
M,Uneducated,$40K - $60K,5,1,3,795,23,0
F,Graduate,Less than $40K,5,2,2,1650,20,0
F,Unknown,Less than $40K,2,2,2,1082,22,0
F,Graduate,Unknown,6,3,2,2430,33,0
F,High School,$40K - $60K,1,3,3,0,18,1
M,Graduate,$60K - $80K,3,3,3,1434,18,0
M,Unknown,$40K - $60K,6,1,3,1115,41,0
M,Uneducated,$60K - $80K,5,3,0,0,31,0
M,Uneducated,$40K - $60K,6,2,2,0,32,0
M,Graduate,$80K - $120K,4,3,0,1029,16,0
M,High School,$80K - $120K,4,3,3,1576,32,0
F,Uneducated,Less than $40K,2,2,2,1769,30,0
M,Graduate,$60K - $80K,1,1,2,0,18,1
F,Uneducated,Less than $40K,4,2,0,1007,33,0
M,Uneducated,$80K - $120K,5,2,2,2481,31,0
F,High School,$40K - $60K,3,1,3,1100,22,0
M,Graduate,$80K - $120K,4,3,2,1440,34,0
M,High School,$80K - $120K,4,3,0,2168,24,0
F,Uneducated,$40K - $60K,5,2,3,1711,21,0
F,High School,Unknown,3,3,1,0,14,1
M,Graduate,$40K - $60K,3,1,2,1999,33,0
M,Uneducated,$80K - $120K,2,1,0,1274,41,0
M,High School,$120K +,3,3,3,0,25,1
F,Graduate,Less than $40K,6,3,2,2517,30,0
F,Graduate,Unknown,6,2,2,2221,21,1
F,Doctorate,Unknown,2,2,3,1376,45,0
M,Graduate,$60K - $80K,2,3,2,1703,27,0
F,Doctorate,Unknown,2,3,2,1608,33,0
M,Doctorate,$60K - $80K,3,4,3,1682,36,0
M,Graduate,$40K - $60K,5,1,2,1718,28,0
M,College,$60K - $80K,6,3,0,1814,37,0
M,High School,$40K - $60K,5,1,3,837,29,0
M,High School,$40K - $60K,5,3,2,2217,41,0
F,High School,$40K - $60K,5,2,3,1250,31,0
F,High School,Less than $40K,2,3,0,583,24,0
M,High School,$40K - $60K,2,3,2,1418,26,0
M,High School,$120K +,5,2,3,2303,27,0
M,Uneducated,$60K - $80K,5,3,2,1343,30,0
M,Post-Graduate,$60K - $80K,6,3,0,1577,26,0
M,College,$60K - $80K,2,2,3,2061,32,0
M,Uneducated,$60K - $80K,5,2,2,1130,44,0
M,Graduate,$120K +,3,3,0,1707,40,0
F,High School,Unknown,4,1,1,0,43,0
M,Graduate,$80K - $120K,6,3,2,2030,23,0
M,Graduate,$120K +,2,3,2,0,37,0
F,Uneducated,Less than $40K,2,1,1,2475,31,0
M,High School,$40K - $60K,2,2,2,930,28,0
M,Graduate,$60K - $80K,3,2,0,1047,33,0
M,Uneducated,$60K - $80K,5,2,2,0,29,0
F,Graduate,Less than $40K,5,6,2,2223,42,0
M,Graduate,$120K +,2,3,3,1381,11,1
F,Graduate,Unknown,2,3,2,2154,29,0
M,High School,$60K - $80K,5,3,2,2169,27,0
F,Unknown,Less than $40K,4,2,1,1912,36,0
F,High School,Less than $40K,4,2,0,2070,28,0
M,High School,$80K - $120K,5,5,2,1539,33,0
M,Graduate,$40K - $60K,4,2,1,1297,55,0
M,Graduate,$80K - $120K,3,2,3,0,13,0
F,Uneducated,Less than $40K,4,1,2,1926,22,0
M,High School,$80K - $120K,3,3,3,2177,23,0
F,Uneducated,Unknown,3,3,0,2376,23,0
M,High School,$60K - $80K,4,3,3,2517,35,0
M,Uneducated,$120K +,3,2,2,1355,49,0
F,Post-Graduate,Less than $40K,3,3,2,1823,22,0
M,Post-Graduate,$80K - $120K,6,2,2,2505,31,0
F,Unknown,Less than $40K,4,3,3,2517,36,0
F,Graduate,$40K - $60K,5,2,0,1069,16,0
F,Graduate,Less than $40K,4,1,3,2242,28,0
F,Uneducated,Less than $40K,4,1,0,1605,46,0
F,Graduate,Less than $40K,3,1,2,1785,24,0
M,Graduate,$120K +,5,3,3,1699,38,0
M,High School,$120K +,6,3,2,1844,32,0
F,Graduate,Less than $40K,4,3,3,2462,29,0
M,Unknown,$40K - $60K,4,3,2,2517,26,1
F,High School,Less than $40K,3,2,1,2321,32,0
M,High School,Less than $40K,5,3,3,1571,38,0
F,Graduate,Less than $40K,5,1,2,1942,43,0
M,Uneducated,$60K - $80K,6,3,0,1560,25,0
M,Graduate,$80K - $120K,6,3,3,1692,22,0
M,Uneducated,$40K - $60K,2,4,3,537,13,1
M,High School,$80K - $120K,3,1,2,1710,49,0
M,Graduate,$120K +,3,2,3,0,31,0
F,High School,Less than $40K,6,1,0,2439,34,0
M,High School,$60K - $80K,5,3,2,1173,32,0
M,High School,$60K - $80K,5,3,3,2517,38,0
F,Uneducated,Less than $40K,5,1,2,1648,34,0
M,Graduate,Less than $40K,4,4,2,2517,32,0
F,High School,Less than $40K,3,1,3,2117,32,0
M,Graduate,$80K - $120K,5,3,2,1090,29,0
F,Graduate,$40K - $60K,6,2,0,0,39,0
M,Uneducated,$40K - $60K,6,3,2,1375,38,0
M,Graduate,$60K - $80K,6,2,3,755,22,0
M,Uneducated,$60K - $80K,3,2,0,1503,39,0
M,Uneducated,$60K - $80K,3,2,2,2517,34,0
F,Graduate,Unknown,4,1,3,1465,31,0
M,Uneducated,$80K - $120K,6,3,2,2165,32,0
F,Uneducated,Less than $40K,6,3,4,0,41,0
M,Graduate,$80K - $120K,5,1,0,2031,31,0
M,High School,$120K +,6,3,3,2274,47,0
F,Graduate,$40K - $60K,6,2,3,1440,22,0
F,Graduate,Less than $40K,6,3,2,0,27,0
M,Unknown,$120K +,3,3,3,848,23,0
F,Graduate,$40K - $60K,6,3,3,969,15,0
F,Graduate,Less than $40K,5,2,2,1644,31,0
F,Graduate,Less than $40K,5,3,0,1270,31,0
M,High School,$120K +,5,3,2,1785,25,0
M,Uneducated,$60K - $80K,3,3,2,793,27,0
M,Unknown,$40K - $60K,5,3,0,1799,33,0
F,Graduate,Less than $40K,6,2,3,1521,30,0
F,High School,Less than $40K,3,5,3,1411,35,0
F,High School,Less than $40K,4,2,0,1403,39,0
F,Post-Graduate,Unknown,6,3,2,1586,48,0
M,High School,$40K - $60K,6,3,3,1766,24,0
M,Graduate,$40K - $60K,5,3,2,1560,32,0
M,Uneducated,$80K - $120K,5,2,3,1955,28,0
F,High School,Less than $40K,3,2,3,726,28,0
F,Graduate,Less than $40K,4,2,0,2250,29,0
M,Graduate,$80K - $120K,6,2,3,1818,37,0
M,Uneducated,$120K +,6,2,3,1794,37,0
M,High School,$60K - $80K,4,3,3,2381,23,0
F,High School,Less than $40K,6,3,2,1576,37,0
M,Graduate,$80K - $120K,3,2,3,1980,34,0
M,Post-Graduate,$80K - $120K,2,5,3,1547,15,1
M,Graduate,$60K - $80K,3,3,2,1617,25,0
M,Unknown,Less than $40K,6,1,0,1915,27,0
F,Graduate,Less than $40K,3,2,3,1480,37,0
M,Graduate,$60K - $80K,6,2,2,1162,26,0
F,College,Less than $40K,6,1,2,2008,53,0
M,High School,$60K - $80K,5,1,3,1233,29,0
F,Unknown,Less than $40K,6,1,1,1288,33,0
F,Post-Graduate,$40K - $60K,5,3,3,1346,57,0
M,Uneducated,$40K - $60K,3,1,0,1554,38,0
M,Graduate,$60K - $80K,5,1,2,843,38,0
M,College,$80K - $120K,3,3,1,1662,25,0
M,High School,$120K +,5,3,3,2233,27,0
M,Uneducated,$80K - $120K,5,2,2,1306,39,0
M,Uneducated,$40K - $60K,6,3,3,1253,21,0
M,Uneducated,$120K +,3,3,3,1120,17,1
M,College,$80K - $120K,3,3,0,0,32,0
M,Unknown,$120K +,6,1,3,2086,47,0
M,High School,$120K +,6,5,2,2094,28,0
M,Graduate,$40K - $60K,5,3,0,2033,37,0
M,College,$60K - $80K,3,3,3,0,18,1
M,Graduate,$60K - $80K,6,2,0,0,39,0
M,College,$120K +,5,2,1,1254,25,0
F,Graduate,Less than $40K,5,3,2,0,44,0
M,Uneducated,$40K - $60K,4,3,2,1675,38,0
M,Graduate,$60K - $80K,4,1,1,913,35,0
M,Post-Graduate,$60K - $80K,6,3,0,1954,24,0
F,Unknown,Less than $40K,3,3,1,968,50,0
M,High School,$40K - $60K,3,2,2,1249,33,0
M,Post-Graduate,$60K - $80K,3,2,0,1965,26,0
F,Graduate,Less than $40K,3,3,3,1673,36,1
M,Unknown,$80K - $120K,3,3,2,2517,30,0
M,Uneducated,$60K - $80K,3,3,2,1454,25,0
M,Unknown,$60K - $80K,3,1,3,0,22,0
F,Graduate,Less than $40K,6,3,2,0,20,1
M,Graduate,$80K - $120K,5,2,2,2517,42,0
M,High School,$60K - $80K,6,2,3,0,43,0
M,Graduate,$80K - $120K,6,3,3,785,22,0
F,College,Less than $40K,3,2,2,1930,16,0
M,High School,$40K - $60K,4,3,3,1001,11,0
M,Uneducated,$60K - $80K,5,3,3,1299,20,1
M,High School,$80K - $120K,6,1,0,1916,21,0
M,High School,$120K +,4,1,1,0,24,0
F,Unknown,Less than $40K,2,3,3,0,35,1
F,Graduate,Less than $40K,5,3,1,820,41,0
F,Unknown,$40K - $60K,6,1,2,1851,31,0
F,Unknown,Unknown,4,3,3,2388,34,0
F,College,Less than $40K,3,3,0,0,34,0
M,High School,$60K - $80K,6,1,2,0,38,0
F,Graduate,$40K - $60K,6,1,3,1627,36,0
F,Uneducated,$40K - $60K,3,1,3,2081,44,0
F,Unknown,$40K - $60K,3,1,2,1257,29,0
M,Doctorate,$60K - $80K,4,2,3,1727,39,0
M,Unknown,$80K - $120K,6,1,3,2280,36,0
M,Unknown,$80K - $120K,3,1,0,2517,40,0
F,Graduate,Less than $40K,5,3,2,1794,45,0
M,Graduate,$40K - $60K,5,2,3,1390,35,0
M,Graduate,$80K - $120K,3,2,2,1531,29,0
F,College,$40K - $60K,6,2,1,1469,49,0
M,Graduate,$80K - $120K,3,3,0,0,37,0
F,Graduate,Less than $40K,1,2,2,0,19,1
F,Uneducated,Less than $40K,1,1,1,1518,25,1
F,Graduate,$40K - $60K,3,2,1,0,30,0
M,Unknown,$80K - $120K,5,3,2,877,26,0
M,High School,$80K - $120K,3,3,2,1143,21,0
M,Graduate,$60K - $80K,3,3,2,0,21,1
F,Unknown,$40K - $60K,6,1,3,0,23,0
F,Uneducated,Unknown,5,1,2,0,35,0
F,High School,Less than $40K,3,1,0,0,39,0
M,Uneducated,$80K - $120K,1,3,3,0,20,1
M,Uneducated,$80K - $120K,6,2,2,1565,42,0
F,Post-Graduate,Less than $40K,5,1,1,1910,25,0
F,High School,Less than $40K,6,1,2,1074,31,0
M,Graduate,$80K - $120K,6,2,2,1078,50,0
F,Graduate,Less than $40K,4,1,2,1611,36,0
M,Unknown,$60K - $80K,5,2,1,2192,25,0
M,Uneducated,Less than $40K,3,2,2,1654,42,0
M,Post-Graduate,$80K - $120K,2,1,3,1911,25,1
M,Graduate,$60K - $80K,4,2,3,839,24,0
M,Post-Graduate,$80K - $120K,4,2,0,1208,43,0
M,Graduate,$60K - $80K,5,2,3,2061,30,0
F,Uneducated,Less than $40K,2,3,2,2517,31,1
M,Unknown,$80K - $120K,6,3,0,1385,54,0
M,Uneducated,$60K - $80K,5,3,2,1138,32,0
F,Post-Graduate,Less than $40K,4,3,2,1483,60,0
F,Doctorate,Unknown,4,2,2,1660,44,0
M,Uneducated,$120K +,3,2,2,896,33,0
M,College,$120K +,2,2,3,0,14,1
M,Graduate,$60K - $80K,3,3,0,1526,54,0
F,Post-Graduate,Less than $40K,3,3,2,0,25,1
F,High School,$40K - $60K,5,3,2,2235,42,0
M,Graduate,$40K - $60K,6,6,2,2362,26,0
M,High School,$40K - $60K,4,1,0,0,35,0
M,Unknown,$60K - $80K,5,1,3,2149,35,0
M,Uneducated,$80K - $120K,6,3,3,1597,51,0
F,Graduate,$40K - $60K,5,2,2,885,32,0
M,Graduate,$80K - $120K,4,3,3,723,33,0
F,Post-Graduate,Less than $40K,5,3,2,1972,25,0
M,Graduate,$80K - $120K,5,1,3,1748,24,0
F,High School,$40K - $60K,4,1,2,774,33,0
F,Graduate,$40K - $60K,5,3,2,1713,38,0
M,Graduate,$80K - $120K,3,2,2,2098,39,0
F,College,Less than $40K,4,2,0,1529,32,0
M,College,$40K - $60K,3,1,2,0,23,0
M,High School,$80K - $120K,5,1,3,1351,19,0
M,High School,$80K - $120K,4,1,0,1923,32,0
F,Uneducated,Unknown,6,1,2,0,33,0
F,College,Less than $40K,3,1,2,0,51,0
M,Graduate,$60K - $80K,3,3,2,2216,53,0
M,High School,$80K - $120K,6,1,0,1112,48,0
M,Unknown,$120K +,5,2,2,1833,29,0
M,College,$40K - $60K,6,3,3,1603,36,0
M,Unknown,Unknown,6,2,0,1895,31,0
F,College,Less than $40K,6,2,3,1257,39,0
F,Graduate,Unknown,6,3,0,2043,46,0
M,High School,$80K - $120K,3,3,3,809,33,0
F,College,$40K - $60K,4,1,3,1672,39,0
F,College,Less than $40K,4,1,0,2517,31,0
M,Uneducated,$60K - $80K,5,3,2,1044,27,0
F,High School,Less than $40K,3,2,0,2493,44,0
M,Post-Graduate,$80K - $120K,3,3,2,1786,63,0
M,Post-Graduate,$60K - $80K,3,1,2,2517,25,0
F,High School,Less than $40K,5,3,1,1985,41,0
F,Uneducated,Unknown,3,3,3,710,22,1
F,Uneducated,Less than $40K,5,3,3,0,28,0
M,Unknown,$120K +,5,2,2,2008,33,0
M,High School,$60K - $80K,3,2,0,1535,47,0
F,Graduate,$40K - $60K,4,2,3,1658,28,0
M,Graduate,$60K - $80K,3,3,3,1721,37,0
F,College,Less than $40K,6,2,2,1084,29,0
F,Graduate,Less than $40K,5,1,0,1152,45,0
M,Graduate,$60K - $80K,3,2,3,2517,33,0
M,Graduate,$40K - $60K,6,1,3,977,36,0
